Crowd Accuracy,CNN Model Confidence,RF Accuracy,RF Confidence,Majority Vote Accuracy,crowd_id,Crowd Confidence
0.6944466666666665,0.8648133333333333,0.88,0.6874176190476191,0.8333333333333334,0,0.732559859752655
0.73844,0.8405666666666668,0.84,0.6904222222222223,0.8666666666666667,1,0.7426074743270874
0.7282133333333333,0.8388066666666666,0.8666666666666667,0.721609365079365,0.8566666666666667,2,0.7404037117958069
0.7051133333333334,0.8659,0.8533333333333334,0.6668231746031746,0.8366666666666667,3,0.7326953411102295
0.7104466666666666,0.7980066666666665,0.9066666666666666,0.7075620105820106,0.8266666666666667,4,0.7228785157203674
0.7228866666666666,0.8237466666666666,0.9333333333333333,0.7254652380952382,0.8566666666666667,5,0.7397533059120178
0.72444,0.8391933333333335,0.8666666666666667,0.7341828571428571,0.8566666666666667,6,0.7551852464675903
0.7280066666666668,0.8289933333333334,0.92,0.7188552380952381,0.86,7,0.7399593591690063
0.7039933333333332,0.82574,0.8933333333333333,0.7310350793650794,0.8466666666666667,8,0.7142524123191833
0.7384533333333333,0.7925066666666666,0.8133333333333334,0.6677261375661375,0.84,9,0.7264214754104614
0.7077733333333334,0.8454200000000001,0.8666666666666667,0.7247255026455026,0.8433333333333334,10,0.717849612236023
0.7195533333333333,0.8369466666666665,0.84,0.699189365079365,0.8266666666666667,11,0.7294208407402039
0.7244466666666668,0.8132133333333333,0.8533333333333334,0.7356009523809524,0.8433333333333334,12,0.7463064789772034
0.7499999999999999,0.8051933333333334,0.8666666666666667,0.6707196825396825,0.8533333333333334,13,0.7337189316749573
0.7346733333333334,0.8501066666666666,0.92,0.7261339153439155,0.8533333333333334,14,0.7352591753005981
0.70622,0.7934533333333333,0.8133333333333334,0.6989505820105819,0.8466666666666667,15,0.7293722033500671
0.7195600000000001,0.8131666666666668,0.84,0.6920400000000001,0.85,16,0.7372626662254333
0.7329,0.8154000000000001,0.88,0.7354893650793651,0.85,17,0.74282306432724
0.7062133333333335,0.8160466666666667,0.8666666666666667,0.707723492063492,0.84,18,0.7273369431495667
0.7399866666666668,0.8664133333333333,0.9066666666666666,0.7311132804232805,0.8633333333333333,19,0.7489964365959167
0.7386733333333332,0.8361399999999999,0.84,0.6935555555555556,0.87,20,0.7384178042411804
0.7188933333333334,0.8178933333333335,0.8933333333333333,0.7323444973544974,0.8466666666666667,21,0.7330500483512878
0.7311133333333334,0.8331733333333333,0.8933333333333333,0.6997169841269842,0.86,22,0.7346439957618713
0.6999933333333334,0.7862600000000002,0.84,0.6918515873015874,0.8533333333333334,23,0.7250904440879822
0.7244466666666666,0.7761533333333333,0.8933333333333333,0.741754708994709,0.86,24,0.7389795184135437
0.7186733333333334,0.8424733333333333,0.84,0.7152607936507936,0.8566666666666667,25,0.7367101311683655
0.7386733333333333,0.8391133333333335,0.8933333333333333,0.71566291005291,0.8633333333333333,26,0.7399905323982239
0.7062266666666666,0.8268799999999998,0.9066666666666666,0.7376223809523811,0.8566666666666667,27,0.7413328289985657
0.7197800000000001,0.8614266666666666,0.9066666666666666,0.7403073015873015,0.84,28,0.7309904098510742
0.6933466666666668,0.7789199999999998,0.8533333333333334,0.6812378835978836,0.8366666666666667,29,0.7269449830055237
0.7171133333333335,0.8466666666666666,0.8533333333333334,0.6797403174603175,0.8466666666666667,30,0.7345248460769653
0.7191133333333333,0.8784533333333334,0.84,0.6947992592592592,0.85,31,0.7351244688034058
0.7193266666666667,0.7904666666666668,0.88,0.7048769408369409,0.8366666666666667,32,0.7298035025596619
0.7282266666666666,0.8072933333333332,0.8133333333333334,0.6841768253968252,0.8533333333333334,33,0.7401620745658875
0.7026599999999998,0.8422066666666667,0.8933333333333333,0.6999611111111111,0.8233333333333334,34,0.7277964353561401
0.7202133333333334,0.8229933333333334,0.84,0.712041746031746,0.8266666666666667,35,0.7240708470344543
0.71066,0.79728,0.8933333333333333,0.6921681481481482,0.86,36,0.7242059707641602
0.7226733333333334,0.8196200000000001,0.9066666666666666,0.7505112698412699,0.8466666666666667,37,0.7424471378326416
0.7248800000000001,0.8301266666666668,0.8666666666666667,0.6892296825396825,0.85,38,0.7385748624801636
0.73732,0.8694,0.8133333333333334,0.6723948148148148,0.8833333333333333,39,0.7474367022514343
0.7411133333333333,0.8471999999999997,0.8933333333333333,0.7415337566137565,0.87,40,0.730310320854187
0.73378,0.8219933333333334,0.8933333333333333,0.7312671428571428,0.86,41,0.740318238735199
0.7293400000000001,0.8623133333333333,0.9066666666666666,0.7082455555555555,0.8533333333333334,42,0.7392979264259338
0.7286666666666667,0.8498066666666665,0.8933333333333333,0.7095294179894179,0.85,43,0.7366244196891785
0.7004533333333334,0.8441533333333334,0.88,0.72982,0.8333333333333334,44,0.7205380797386169
0.71622,0.8596066666666667,0.9066666666666666,0.7491511111111111,0.8433333333333334,45,0.7386804223060608
0.7082133333333333,0.8107133333333334,0.84,0.6892709331409331,0.84,46,0.7216898798942566
0.7375600000000001,0.8340666666666667,0.8133333333333334,0.7127106878306878,0.8633333333333333,47,0.7302345633506775
0.72688,0.8116199999999999,0.8266666666666667,0.6889576190476191,0.8333333333333334,48,0.7200208306312561
0.72,0.80486,0.8,0.7080788888888889,0.85,49,0.710225522518158
0.7360000000000001,0.7929599999999998,0.8933333333333333,0.7268190476190477,0.8533333333333334,50,0.7385491728782654
0.7202133333333333,0.8490333333333334,0.8933333333333333,0.6918093650793652,0.8533333333333334,51,0.7211240530014038
0.7182200000000001,0.8222733333333333,0.8,0.6991099470899471,0.8533333333333334,52,0.7290197610855103
0.7182200000000001,0.8096466666666667,0.8933333333333333,0.7006639153439153,0.8233333333333334,53,0.7390448451042175
0.7144333333333334,0.8366333333333333,0.8933333333333333,0.7362367195767195,0.85,54,0.7369067668914795
0.7128933333333334,0.7833533333333332,0.8533333333333334,0.7080925925925925,0.84,55,0.7276813983917236
0.7106666666666668,0.7943533333333334,0.8266666666666667,0.6389708994708995,0.82,56,0.7160750031471252
0.7173333333333333,0.8651,0.8,0.6744379894179893,0.8533333333333334,57,0.7368553876876831
0.7244533333333334,0.8280133333333333,0.84,0.7323930158730159,0.8366666666666667,58,0.7336906790733337
0.7031,0.8013266666666666,0.92,0.7110185185185184,0.8266666666666667,59,0.7430503368377686
0.7186666666666667,0.8346666666666666,0.9066666666666666,0.7555406349206348,0.8366666666666667,60,0.7362667918205261
0.7366666666666666,0.8429266666666667,0.8666666666666667,0.6812012698412699,0.8866666666666667,61,0.7304239869117737
0.7015533333333335,0.8253399999999999,0.88,0.7349218037518038,0.8433333333333334,62,0.7276342511177063
0.7451066666666668,0.8125,0.7866666666666666,0.6764652910052908,0.8433333333333334,63,0.7476507425308228
0.7291133333333334,0.7951733333333333,0.88,0.7134447907647908,0.8466666666666667,64,0.726227879524231
0.71112,0.8371733333333332,0.9066666666666666,0.7607448677248677,0.85,65,0.7313902974128723
0.7404600000000001,0.8424133333333335,0.9066666666666666,0.7289512698412699,0.85,66,0.7359485030174255
0.7220066666666667,0.8155133333333334,0.7733333333333333,0.6749567724867724,0.86,67,0.7295962572097778
0.7335533333333332,0.78618,0.92,0.7159473544973545,0.84,68,0.7429909706115723
0.7353466666666666,0.8748333333333332,0.8533333333333334,0.679756507936508,0.8633333333333333,69,0.7315574288368225
0.7355533333333334,0.8223400000000001,0.9066666666666666,0.7104517460317461,0.8533333333333334,70,0.7256262898445129
0.718,0.8133599999999999,0.8666666666666667,0.702020634920635,0.84,71,0.736620306968689
0.72912,0.8602666666666666,0.92,0.7686139682539683,0.8633333333333333,72,0.7451161742210388
0.7217866666666667,0.7715066666666667,0.92,0.7429157671957672,0.83,73,0.7178613543510437
0.7255599999999999,0.8246199999999999,0.8533333333333334,0.7267614285714284,0.8666666666666667,74,0.7312971949577332
0.718,0.8147733333333332,0.8266666666666667,0.6738490476190477,0.8633333333333333,75,0.7257747650146484
0.7413466666666667,0.81432,0.8,0.6645086772486773,0.8566666666666667,76,0.7494381666183472
0.6986799999999999,0.8407933333333334,0.8666666666666667,0.7194266666666668,0.8533333333333334,77,0.7038882374763489
0.69934,0.83488,0.8133333333333334,0.687564761904762,0.83,78,0.7291520833969116
0.7224466666666667,0.7790933333333333,0.8,0.6487955555555556,0.8333333333333334,79,0.726520836353302
0.7146733333333335,0.8479133333333332,0.8133333333333334,0.6894289947089947,0.8533333333333334,80,0.7414764761924744
0.7235600000000001,0.8502200000000001,0.8933333333333333,0.7472120105820106,0.8266666666666667,81,0.7263980507850647
0.7333266666666667,0.8629466666666666,0.88,0.7085907936507937,0.8566666666666667,82,0.7359051704406738
0.7339866666666667,0.7739466666666667,0.8266666666666667,0.7214533333333334,0.8433333333333334,83,0.7373207211494446
0.7091133333333333,0.8521533333333333,0.8533333333333334,0.685852380952381,0.8566666666666667,84,0.7385566234588623
0.6962133333333331,0.8143933333333333,0.8933333333333333,0.6945292063492062,0.8333333333333334,85,0.7212682366371155
0.7233466666666666,0.8223,0.92,0.7196015873015872,0.8333333333333334,86,0.7317520976066589
0.71844,0.7707,0.8666666666666667,0.7158639682539683,0.8366666666666667,87,0.7321211099624634
0.7246600000000001,0.8564533333333333,0.8933333333333333,0.7470506878306878,0.82,88,0.7441443800926208
0.7346800000000001,0.7882933333333334,0.88,0.703616984126984,0.85,89,0.7458668351173401
0.7346666666666667,0.8375733333333334,0.88,0.7064860317460319,0.85,90,0.7501264214515686
0.738,0.8576466666666664,0.8933333333333333,0.7263356854256855,0.8733333333333333,91,0.7494411468505859
0.7284333333333333,0.80704,0.84,0.7413809523809524,0.86,92,0.7260723114013672
0.7397733333333336,0.8568066666666667,0.8666666666666667,0.7026265079365078,0.8633333333333333,93,0.7290146350860596
0.7364400000000001,0.83004,0.8933333333333333,0.7389766666666667,0.87,94,0.7378929853439331
0.7335533333333333,0.8248533333333334,0.8133333333333334,0.6998366137566137,0.8666666666666667,95,0.7429386973381042
0.7628933333333333,0.8447666666666668,0.88,0.7354414285714286,0.8666666666666667,96,0.7357600331306458
0.7306733333333333,0.7964533333333335,0.92,0.7213971428571428,0.8566666666666667,97,0.7318971753120422
0.7173333333333333,0.8431999999999998,0.8666666666666667,0.7050133333333334,0.86,98,0.7407510280609131
0.7388933333333332,0.8153933333333333,0.88,0.6980106637806638,0.8533333333333334,99,0.730510413646698
