bins,accuracy,confidence,count,model_batch
"(0.0, 0.1]",,,0,cnn_Epoch16_Batch32
"(0.1, 0.2]",,,0,cnn_Epoch16_Batch32
"(0.2, 0.3]",,,0,cnn_Epoch16_Batch32
"(0.3, 0.4]",,,0,cnn_Epoch16_Batch32
"(0.4, 0.5]",0.0,0.4671303927898407,4,cnn_Epoch16_Batch32
"(0.5, 0.6]",0.3333333333333333,0.5433291792869568,6,cnn_Epoch16_Batch32
"(0.6, 0.7]",0.875,0.6385282278060913,8,cnn_Epoch16_Batch32
"(0.7, 0.8]",0.4,0.73785799741745,10,cnn_Epoch16_Batch32
"(0.8, 0.9]",0.7272727272727273,0.843018114566803,11,cnn_Epoch16_Batch32
"(0.9, 1.0]",0.9616858237547893,0.9932743310928345,261,cnn_Epoch16_Batch32
"(0.0, 0.1]",,,0,cnn_Epoch32_Batch64
"(0.1, 0.2]",,,0,cnn_Epoch32_Batch64
"(0.2, 0.3]",,,0,cnn_Epoch32_Batch64
"(0.3, 0.4]",1.0,0.37541285157203674,2,cnn_Epoch32_Batch64
"(0.4, 0.5]",0.0,0.4423452615737915,1,cnn_Epoch32_Batch64
"(0.5, 0.6]",0.25,0.5604252219200134,4,cnn_Epoch32_Batch64
"(0.6, 0.7]",0.3333333333333333,0.6480562090873718,6,cnn_Epoch32_Batch64
"(0.7, 0.8]",0.5555555555555556,0.7525384426116943,9,cnn_Epoch32_Batch64
"(0.8, 0.9]",0.4,0.842721164226532,5,cnn_Epoch32_Batch64
"(0.9, 1.0]",0.9597069597069597,0.9947152137756348,273,cnn_Epoch32_Batch64
"(0.0, 0.1]",,,0,cnn_Epoch64_Batch128
"(0.1, 0.2]",,,0,cnn_Epoch64_Batch128
"(0.2, 0.3]",,,0,cnn_Epoch64_Batch128
"(0.3, 0.4]",,,0,cnn_Epoch64_Batch128
"(0.4, 0.5]",0.5,0.4818444848060608,2,cnn_Epoch64_Batch128
"(0.5, 0.6]",0.5,0.5646997690200806,6,cnn_Epoch64_Batch128
"(0.6, 0.7]",0.0,0.6584686040878296,5,cnn_Epoch64_Batch128
"(0.7, 0.8]",0.8333333333333334,0.7450764775276184,6,cnn_Epoch64_Batch128
"(0.8, 0.9]",0.42857142857142855,0.8671016693115234,7,cnn_Epoch64_Batch128
"(0.9, 1.0]",0.9598540145985401,0.9957948327064514,274,cnn_Epoch64_Batch128
"(0.0, 0.1]",,,0,rnn_Epoch16_Batch32
"(0.1, 0.2]",,,0,rnn_Epoch16_Batch32
"(0.2, 0.3]",0.0,0.23613423109054565,1,rnn_Epoch16_Batch32
"(0.3, 0.4]",0.3333333333333333,0.3600834608078003,3,rnn_Epoch16_Batch32
"(0.4, 0.5]",0.16666666666666666,0.4376835823059082,6,rnn_Epoch16_Batch32
"(0.5, 0.6]",0.23529411764705882,0.5417584776878357,17,rnn_Epoch16_Batch32
"(0.6, 0.7]",0.5,0.6476722359657288,12,rnn_Epoch16_Batch32
"(0.7, 0.8]",0.5,0.7658666968345642,14,rnn_Epoch16_Batch32
"(0.8, 0.9]",0.7575757575757576,0.8502510786056519,33,rnn_Epoch16_Batch32
"(0.9, 1.0]",0.8878504672897196,0.9828929901123047,214,rnn_Epoch16_Batch32
"(0.0, 0.1]",,,0,rnn_Epoch32_Batch64
"(0.1, 0.2]",,,0,rnn_Epoch32_Batch64
"(0.2, 0.3]",,,0,rnn_Epoch32_Batch64
"(0.3, 0.4]",1.0,0.3217592239379883,1,rnn_Epoch32_Batch64
"(0.4, 0.5]",0.4,0.4470597207546234,5,rnn_Epoch32_Batch64
"(0.5, 0.6]",0.75,0.5573589205741882,12,rnn_Epoch32_Batch64
"(0.6, 0.7]",0.6,0.6582959890365601,10,rnn_Epoch32_Batch64
"(0.7, 0.8]",0.3333333333333333,0.7520431876182556,21,rnn_Epoch32_Batch64
"(0.8, 0.9]",0.6,0.867242157459259,15,rnn_Epoch32_Batch64
"(0.9, 1.0]",0.9194915254237288,0.9900320768356323,236,rnn_Epoch32_Batch64
"(0.0, 0.1]",,,0,rnn_Epoch64_Batch128
"(0.1, 0.2]",,,0,rnn_Epoch64_Batch128
"(0.2, 0.3]",,,0,rnn_Epoch64_Batch128
"(0.3, 0.4]",1.0,0.3094904124736786,1,rnn_Epoch64_Batch128
"(0.4, 0.5]",0.2,0.4524003565311432,5,rnn_Epoch64_Batch128
"(0.5, 0.6]",0.6,0.551828145980835,10,rnn_Epoch64_Batch128
"(0.6, 0.7]",0.4166666666666667,0.662679135799408,12,rnn_Epoch64_Batch128
"(0.7, 0.8]",0.5384615384615384,0.7528902292251587,13,rnn_Epoch64_Batch128
"(0.8, 0.9]",0.5333333333333333,0.8591578602790833,15,rnn_Epoch64_Batch128
"(0.9, 1.0]",0.9057377049180327,0.9905111789703369,244,rnn_Epoch64_Batch128
"(0.0, 0.1]",,,0,transformer_Epoch16_Batch32
"(0.1, 0.2]",0.0,0.19767364859580994,1,transformer_Epoch16_Batch32
"(0.2, 0.3]",0.5,0.260658860206604,8,transformer_Epoch16_Batch32
"(0.3, 0.4]",0.391304347826087,0.3629135191440582,23,transformer_Epoch16_Batch32
"(0.4, 0.5]",0.3888888888888889,0.4551905393600464,36,transformer_Epoch16_Batch32
"(0.5, 0.6]",0.6046511627906976,0.5494045615196228,43,transformer_Epoch16_Batch32
"(0.6, 0.7]",0.5789473684210527,0.6532008647918701,38,transformer_Epoch16_Batch32
"(0.7, 0.8]",0.5555555555555556,0.7390657067298889,36,transformer_Epoch16_Batch32
"(0.8, 0.9]",0.8378378378378378,0.8414863348007202,37,transformer_Epoch16_Batch32
"(0.9, 1.0]",0.9230769230769231,0.9597744345664978,78,transformer_Epoch16_Batch32
"(0.0, 0.1]",,,0,transformer_Epoch32_Batch64
"(0.1, 0.2]",,,0,transformer_Epoch32_Batch64
"(0.2, 0.3]",,,0,transformer_Epoch32_Batch64
"(0.3, 0.4]",0.1,0.3747299611568451,10,transformer_Epoch32_Batch64
"(0.4, 0.5]",0.3333333333333333,0.46221795678138733,18,transformer_Epoch32_Batch64
"(0.5, 0.6]",0.375,0.5648928284645081,16,transformer_Epoch32_Batch64
"(0.6, 0.7]",0.37037037037037035,0.6537747979164124,27,transformer_Epoch32_Batch64
"(0.7, 0.8]",0.5757575757575758,0.7554773092269897,33,transformer_Epoch32_Batch64
"(0.8, 0.9]",0.7647058823529411,0.849494457244873,34,transformer_Epoch32_Batch64
"(0.9, 1.0]",0.9074074074074074,0.9770832061767578,162,transformer_Epoch32_Batch64
"(0.0, 0.1]",,,0,transformer_Epoch64_Batch128
"(0.1, 0.2]",,,0,transformer_Epoch64_Batch128
"(0.2, 0.3]",0.0,0.2844303548336029,1,transformer_Epoch64_Batch128
"(0.3, 0.4]",0.0,0.34930968284606934,2,transformer_Epoch64_Batch128
"(0.4, 0.5]",0.14285714285714285,0.46363702416419983,7,transformer_Epoch64_Batch128
"(0.5, 0.6]",0.5,0.5506645441055298,20,transformer_Epoch64_Batch128
"(0.6, 0.7]",0.5,0.6724526882171631,18,transformer_Epoch64_Batch128
"(0.7, 0.8]",0.3333333333333333,0.7525084614753723,24,transformer_Epoch64_Batch128
"(0.8, 0.9]",0.6,0.8672240972518921,20,transformer_Epoch64_Batch128
"(0.9, 1.0]",0.8557692307692307,0.9864699840545654,208,transformer_Epoch64_Batch128
"(0.0, 0.1]",,,0,RandomForest
"(0.1, 0.2]",0.2,0.184,10,RandomForest
"(0.2, 0.3]",0.5753424657534246,0.2556164383561644,73,RandomForest
"(0.3, 0.4]",0.9032258064516129,0.3561290322580645,62,RandomForest
"(0.4, 0.5]",0.9636363636363636,0.4647272727272727,55,RandomForest
"(0.5, 0.6]",1.0,0.559047619047619,42,RandomForest
"(0.6, 0.7]",1.0,0.6495833333333333,24,RandomForest
"(0.7, 0.8]",1.0,0.75,18,RandomForest
"(0.8, 0.9]",1.0,0.8525,12,RandomForest
"(0.9, 1.0]",1.0,0.9375,4,RandomForest
